epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,3144.48,0.79913,0.70506,1.16566,0.67374,0.63498,0.62279,0.48766,1.05392,1.32363,1.41041,0.0005842,0.0005842,0.0005842
128,3169.09,0.81223,0.72085,1.16148,0.65851,0.64617,0.63587,0.49523,1.06975,1.28905,1.42794,0.0005809,0.0005809,0.0005809
129,3192.86,0.81828,0.73629,1.18669,0.66412,0.64945,0.62896,0.48905,1.067,1.32042,1.4297,0.0005776,0.0005776,0.0005776
130,3217.63,0.82295,0.71992,1.1761,0.66283,0.67031,0.61898,0.47602,1.06992,1.30832,1.44284,0.0005743,0.0005743,0.0005743
131,3242.36,0.81776,0.71805,1.1719,0.70849,0.63306,0.62761,0.48224,1.0682,1.29066,1.43378,0.000571,0.000571,0.000571
132,3266.28,0.80098,0.72318,1.16386,0.69572,0.63519,0.62921,0.49776,1.06504,1.30894,1.42282,0.0005677,0.0005677,0.0005677
133,3290.61,0.80051,0.6972,1.16199,0.68905,0.62541,0.62723,0.4871,1.06627,1.31352,1.42462,0.0005644,0.0005644,0.0005644
134,3315.52,0.80336,0.70997,1.16482,0.68416,0.60346,0.62287,0.48259,1.05509,1.36622,1.42008,0.0005611,0.0005611,0.0005611
135,3340.36,0.79011,0.70405,1.1604,0.70802,0.63498,0.64275,0.49728,1.07373,1.26847,1.44041,0.0005578,0.0005578,0.0005578
136,3364.26,0.79318,0.70496,1.15696,0.69933,0.61669,0.62315,0.48616,1.07399,1.33174,1.42606,0.0005545,0.0005545,0.0005545
137,3389.24,0.80429,0.70388,1.16101,0.69285,0.62236,0.63523,0.48661,1.0655,1.27088,1.42697,0.0005512,0.0005512,0.0005512
138,3414.49,0.79778,0.71556,1.15582,0.67021,0.62555,0.61998,0.47429,1.06151,1.33597,1.43273,0.0005479,0.0005479,0.0005479
139,3438.88,0.7811,0.69459,1.14292,0.63206,0.645,0.61961,0.4784,1.05919,1.33103,1.43988,0.0005446,0.0005446,0.0005446
140,3463.17,0.7947,0.70724,1.14851,0.66611,0.63022,0.61861,0.47489,1.06834,1.34166,1.44345,0.0005413,0.0005413,0.0005413
141,3488.23,0.7871,0.68868,1.14923,0.66228,0.62256,0.61414,0.47893,1.0663,1.31566,1.44927,0.000538,0.000538,0.000538
142,3513.6,0.76519,0.71608,1.14006,0.68518,0.63493,0.63369,0.49372,1.06839,1.30349,1.42644,0.0005347,0.0005347,0.0005347
143,3537.2,0.77602,0.68275,1.14084,0.66514,0.65752,0.62957,0.48981,1.07486,1.27588,1.43362,0.0005314,0.0005314,0.0005314
144,3561.99,0.76741,0.67126,1.14018,0.65446,0.62313,0.60155,0.46667,1.06968,1.341,1.42937,0.0005281,0.0005281,0.0005281
145,3587.24,0.79466,0.69908,1.15587,0.6752,0.60353,0.61375,0.47722,1.06518,1.36476,1.41956,0.0005248,0.0005248,0.0005248
146,3612.05,0.78301,0.68444,1.14643,0.66737,0.61268,0.61435,0.47873,1.04982,1.36534,1.41508,0.0005215,0.0005215,0.0005215
147,3635.82,0.7911,0.70429,1.15965,0.68616,0.61208,0.63993,0.48974,1.06319,1.31728,1.42747,0.0005182,0.0005182,0.0005182
148,3660.98,0.76173,0.66995,1.13501,0.6939,0.60848,0.63449,0.49537,1.05856,1.31572,1.43452,0.0005149,0.0005149,0.0005149
149,3686.56,0.77195,0.68778,1.14582,0.68031,0.62117,0.61758,0.4804,1.08552,1.34024,1.46519,0.0005116,0.0005116,0.0005116
150,3710.93,0.77227,0.67677,1.14604,0.67146,0.62778,0.62165,0.4721,1.06464,1.30447,1.44836,0.0005083,0.0005083,0.0005083
151,3735.13,0.7554,0.66445,1.13083,0.67799,0.61922,0.61623,0.48219,1.07069,1.34855,1.45866,0.000505,0.000505,0.000505
152,3760.65,0.78442,0.67905,1.14897,0.68467,0.63951,0.63017,0.49365,1.07469,1.35773,1.4479,0.0005017,0.0005017,0.0005017
153,3785.79,0.7678,0.66987,1.14203,0.6388,0.66038,0.62836,0.48576,1.07184,1.3157,1.44279,0.0004984,0.0004984,0.0004984
154,3810.29,0.77714,0.66344,1.14367,0.68432,0.61768,0.64482,0.49593,1.07179,1.30258,1.4548,0.0004951,0.0004951,0.0004951
155,3834.67,0.7721,0.70631,1.14803,0.66639,0.59699,0.61077,0.47667,1.06545,1.43277,1.46191,0.0004918,0.0004918,0.0004918
